Word,Language,IPA,English Translation
छक्का,hi,t͡ʃʰəkkaː,Negotiable
हिजड़ा,hi,ɦid͡ʒɽaː,Hedgehog
टट्टे,hi,ʈəʈʈe,Pony
रांड ,hi,raːnɖə,Randy
रंढवा,hi,rənɖ̤vaː,Сountry
जिगोलो,hi,d͡ʒiɡolo,Girgo
रंडी,hi,rənɖiː,Randy
लंड,hi,lənɖə,Lemon
चूत,hi,t͡ʃuːt,Suck
बंड,hi,bənɖə,Bound
गांडू,hi,ɡaːnɖuː,Gondu
गांडी,hi,ɡaːnɖiː,English
भोसड़ी वाला,hi,b̤osɽiː vaːlaː,Busty
भोंसड़ी वाला,hi,b̤onsɽiː vaːlaː,Busty
भोसरी वाला,hi,b̤osriː vaːlaː,Bassery
बूबले,hi,buːble,BOOBLE
चुची,hi,t͡ʃut͡ʃiː,Cheats
चूचे,hi,t͡ʃuːt͡ʃe,Violence
चूचियां,hi,t͡ʃuːt͡ʃijaːn,Bangles
चूत मार के,hi,t͡ʃuːtə maːrə ke,Banging
लंड मार के,hi,lənɖə maːrə ke,Spanking
गांड मारी के,hi,ɡaːnɖə maːriː ke,Married
चोदू,hi,t͡ʃoduː,Chotamil
लौड़ा,hi,lɔːɽaː,Wardrobe
लौंडा,hi,lɔːnɖaː,Lagoda
लोडा,hi,loɖaː,Loaded
लंड,hi,lənɖə,Lemon
मुठ मारना,hi,muʈʰə maːrnaː,Momenting
मुठी,hi,muʈʰiː,Mystery
मुठल,hi,muʈʰəl,Muddle
बाबले,hi,baːble,Babley
बुर,hi,bur,Burger
चोदना,hi,t͡ʃodnaː,Sex
चुदना,hi,t͡ʃudnaː,tight
चुद,hi,t͡ʃud,tight
बूबले,hi,buːble,BOOBLE
चोदू,hi,t͡ʃoduː,Chotamil
भड़वा,hi,b̤əɽvaː,Home
भड़वे,hi,b̤əɽve,Home
भड़वों,hi,b̤əɽvon,Perverts
भड़वी,hi,b̤əɽviː,Wife
भड़वापंती,hi,b̤əɽvaːpəntiː,Home
चोदेला,hi,t͡ʃodelaː,Chodela
मारना,hi,maːrnaː,Hit
मारनी,hi,maːrniː,Marry
मारने,hi,maːrne,Killing
गांडफटू,hi,ɡaːnɖpʰəʈuː,Gadget
गांडफटी,hi,ɡaːnɖpʰəʈiː,Gadgets
गांडफटा,hi,ɡaːnɖpʰəʈaː,Сountry
गांडफटों,hi,ɡaːnɖpʰəʈon,Gadgets
गांडमस्ती,hi,ɡaːnɖməstiː,English
गांड मारना,hi,ɡaːnɖə maːrnaː,Singinging
गांड मारू,hi,ɡaːnɖə maːruː,Scandals
गांड मारी,hi,ɡaːnɖə maːriː,Marathi
गांड माराना,hi,ɡaːnɖə maːraːnaː,Singer
झाँट,hi,d͡ʒ̤ãːʈə,Skirt
गांड फटू,hi,ɡaːnɖə pʰəʈuː,Scandals
गांड फटी,hi,ɡaːnɖə pʰəʈiː,Gand Fatigue
गांड फटा,hi,ɡaːnɖə pʰəʈaː,Gadget Cracked
गांड फटों,hi,ɡaːnɖə pʰəʈon,Gand Bursts
गांड मस्ती,hi,ɡaːnɖə məstiː,Gadget
गांडमरना,hi,ɡaːnɖmərnaː,English
गांडमरू,hi,ɡaːnɖməruː,Gadget
गांडमराना,hi,ɡaːnɖməraːnaː,English
गांडमारी,hi,ɡaːnɖmaːriː,Gadgets
रंडीबाज़ार,hi,rənɖiːbaːzaːr,Randybazar
चोदो,hi,t͡ʃodo,Chota
चोदी,hi,t͡ʃodiː,chennai
चोदने,hi,t͡ʃodne,Sex
चोदवा,hi,t͡ʃodvaː,Chodow
चुदो,hi,t͡ʃudo,Wishes
चुदी,hi,t͡ʃudiː,Funny
चुदने,hi,t͡ʃudne,tights
चुदवा,hi,t͡ʃudvaː,Сountry
चोदाई,hi,t͡ʃodaːiː,Cholera
चुदा,hi,t͡ʃudaː,Suggestion
चुदाई,hi,t͡ʃudaːiː,Suggestion
चुदवाना,hi,t͡ʃudvaːnaː,Witness
हरामी,hi,ɦəraːmiː,Green
हरामिया,hi,ɦəraːmijaː,Green
हरामज़ादा,hi,ɦəraːmzaːdaː,Haremazada
हरामज़ादी,hi,ɦəraːmzaːdiː,Harmony
हरामख़ोर,hi,ɦəraːmxor,Harmony
कमीना,hi,kəmiːnaː,Decreasing
कमीनी,hi,kəmiːniː,Missing
भोसड़ी,hi,b̤osɽiː,Beaux
भोसड़ीके,hi,b̤osɽiːke,Сountry
भंडवा,hi,b̤ənɖvaː,Сountry
भंडी,hi,b̤ənɖiː,Blessing
भड़वा,hi,b̤əɽvaː,Home
भड़वी,hi,b̤əɽviː,Wife
रांड,hi,raːnɖə,Randy
रांडवा,hi,raːnɖvaː,Randwa
रांडिबाजार,hi,raːnɖibaːd͡ʒaːr,Randybazar
हिजड़ा,hi,ɦid͡ʒɽaː,Hedgehog
हिजरा,hi,ɦid͡ʒraː,Hedgehog
हिजड़े,hi,ɦid͡ʒɽe,Hedgehog
छक्का,hi,t͡ʃʰəkkaː,Negotiable
गांडू,hi,ɡaːnɖuː,Gondu
गंडू,hi,ɡənɖuː,Gondu
लवड़ा,hi,ləvɽaː,Lover
लौड़ा,hi,lɔːɽaː,Wardrobe
लोडा,hi,loɖaː,Loaded
लंड,hi,lənɖə,Lemon
लंडवा,hi,lənɖvaː,LANDWA
चूत,hi,t͡ʃuːt,Suck
चूतिया,hi,t͡ʃuːtijaː,Katya
चूतमार,hi,t͡ʃuːtmaːr,titmar
चूतियापा,hi,t͡ʃuːtijaːpaː,Katyapa
filho da puta,pt,filo dɐ putɐ,son of a bitch
pisso,pt,piʃso,pisso
puta que pariu,pt,putɐ kʷɛ pɐɾiw,Holy shit
cabra,pt,kɐbʁɐ,goat
escroto,pt,ɛʃkɾoto,scrotum
saco de merda,pt,sɐko dɛ mɛɾdɐ,bag of shit
cracudo,pt,kɾɐkudo,crackpot
foder,pt,fodɛɾ,fuck
vai se foder,pt,vaj sɛ fodɛɾ,fuck you
vagabundo,pt,vɐɡɐbundo,tramp
porra,pt,poʁɐ,fuck
pra caralho,pt,pɾɐ kɐɾɐlo,for fuck's sake
broche,pt,bɾokɛ,brooch
pixota,pt,piksotɐ,pixota
chupa meu pau,pt,kupɐ mew paw,suck my cock
pau,pt,paw,stick
galinha,pt,ɡɐlinɐ,chicken
cacete,pt,kɐzɛtɛ,cock
bicha,pt,bikɐ,queer
arrombado,pt,ɐʁombɐdo,broken into
pica,pt,pikɐ,pica
rego do cu,pt,ʁɛɡo do ku,asshole
piça,pt,pisɐ,cock
corno,pt,koɾno,cuckold
negão,pt,nɛɡɐ̃w̃,black
merda,pt,mɛɾdɐ,shit
xoxota,pt,ʃoksotɐ,pussy
boquete,pt,bokʷɛtɛ,blowjob
olho do cu,pt,olo do ku,asshole
chupa-mos,pt,kupɐ-moʃ,we suck
peido,pt,pɛjdo,fart
mijar,pt,miʒɐɾ,piss
sapatão,pt,sɐpɐtɐ̃w̃,slut
mouro,pt,mowuɾo,Moorish
siririca,pt,siɾiɾikɐ,siririca
foda,pt,fodɐ,fuck
cu,pt,ku,ass
foda-se,pt,fodɐ-sɛ,fuck
vai apanhar no cu,pt,vaj ɐpɐnɐɾ no ku,get your ass kicked
fodido,pt,fodido,fucked
vai pro caralho,pt,vaj pɾo kɐɾɐlo,fuck off
teu cu,pt,tew ku,your ass
minete,pt,minɛtɛ,minete
babaca,pt,bɐbɐkɐ,asshole
mamada,pt,mɐmɐdɐ,blowjob
cona,pt,konɐ,cunt
paneleiro,pt,pɐnɛlɛjɾo,faggot
cachorro,pt,kɐkoʁo,dog
pachacha,pt,pɐkɐkɐ,pachacha
trepar,pt,tɾɛpɐɾ,climb
piroca,pt,piɾokɐ,dick
enrabar,pt,ɛnʁɐbɐɾ,screw
do caralho,pt,do kɐɾɐlo,fucking
negro,pt,nɛɡʁo,black
cachorra,pt,kɐkoʁɐ,puppy
bobo,pt,bobo,silly
puta merda,pt,putɐ mɛɾdɐ,Holy shit
fode-te,pt,fodɛ-tɛ,fuck you
piranha,pt,piɾɐnɐ,piranha
caralho,pt,kɐɾɐlo,fuck
escrota,pt,ɛʃkɾotɐ,scrooge
punheta,pt,punɛtɐ,wank
vai tomar no cu,pt,vaj tomɐɾ no ku,fuck off
cabrão,pt,kɐbʁɐ̃w̃,motherfucker
viado,pt,viɐdo,faggot
rata,pt,ʁɐtɐ,pussy
que porra é essa,pt,kʷɛ poʁɐ e ɛʃsɐ,what the fuck is this
canalha,pt,kɐnɐlɐ,scoundrel
cagar,pt,kɐɡɐɾ,shit
preto,pt,pɾɛto,black
encher o saco,pt,ɛnkɛɾ o sɐko,fill your bag
pito,pt,pito,pito
badalhoca,pt,bɐdɐlokɐ,badass
trouxa,pt,tɾowuksɐ,fool
puta,pt,putɐ,whore
"vai para o caralho, vai-te foder",pt,"vaj pɐɾɐ o kɐɾɐlo, vaj-tɛ fodɛɾ","fuck you, fuck off"
monte de merda,pt,montɛ dɛ mɛɾdɐ,pile of shit
boiola,pt,bowjolɐ,faggot
vai mamar na quinta pata do cavalo,pt,vaj mɐmɐɾ nɐ kʷintɐ pɐtɐ do kɐvɐlo,go suck the horse's fifth leg
brocha,pt,bɾokɐ,broach
moor,pt,mowoɾ,moor
caceta,pt,kɐzɛtɐ,cunt
buceta,pt,buzɛtɐ,pussy
pila,pt,pilɐ,cock
porra nenhuma,pt,poʁɐ nɛnumɐ,fucking nothing
badalhoco,pt,bɐdɐloko,clown
vaca,pt,vɐkɐ,cow
nem fodendo,pt,nɛm fodɛndo,no fucking way
肏,zh,t͡sʰao,fuck (vulgar)
操,zh,t͡sʰao,drill (practice)
他妈的,zh,tʰamate,(taboo curse) damn it!
去你的,zh,t͡ɕʰynite,Go hell!
你妈的屄,zh,nimatipi,You fucking cunt.
肏你妈,zh,t͡sʰaonima,fuck your mother (vulgar)
肏你妈的屄,zh,t͡sʰaonimatipi,Fuck your mom's cunt.
干你妈,zh,kannima,Fuck you!
干你娘,zh,kanniniaŋ,Fuck you!
王八,zh,waŋpa,tortoise
王八旦,zh,waŋpatan,turtle's egg (highly offensive when directed at sb)
龟孙子,zh,kueisunt͡si,(coll.) bastard
杂种,zh,t͡saʈ͡ʂoŋ,son-of-a-bitch
混蛋,zh,xuntan,asshole
犯贱,zh,fant͡ɕian,lowly
招贬,zh,ʈ͡ʂaopian,disparage
低三下四,zh,tisanɕiasi,servile
狗腿子,zh,koutʰueit͡si,fig. one who follows a villain
拍马屁,zh,pʰaimapʰi,boot-licking
神经病,zh,ʂent͡ɕiŋpiŋ,mental disorder
变态,zh,piantʰai,perverted (slang)
脑残,zh,naot͡sʰan,brain-dead (derogatory)
白痴,zh,paiʈ͡ʂʰi,idiocy
笨蛋,zh,pentan,geek
傻子,zh,ʂat͡si,a fool
残废,zh,t͡sʰanfei,garbled
智障,zh,ʈ͡ʂɻ̩ʈ͡ʂaŋ,learning difficulties (handicap)
我尻,zh,wokʰao,I'll do it.
婊子,zh,piaot͡si,prostitute
婊子,zh,piaot͡si,prostitute
三八,zh,sanpa,stupid
混账,zh,xunʈ͡ʂaŋ,absolutely disgraceful!
滚蛋,zh,kuntan,beat it!
傻子,zh,ʂat͡si,a fool
呆子,zh,tait͡si,sucker
惡棍,zh,惡kun,bully
神棍,zh,ʂenkun,sorcerer
窝囊废,zh,wonaŋfei,good-for-nothing
废物,zh,feiu,landfills
废人,zh,feiɻen,handicapped person
废话,zh,feixua,No kidding! (gently sarcastic)
流氓,zh,lioumaŋ,hooliganism
人渣,zh,ɻenʈ͡ʂa,dregs of society
畜生,zh,ʈ͡ʂʰuʂeŋ,bastard
禽兽,zh,t͡ɕʰinʂou,birds and animals
贱货,zh,t͡ɕianxuo,slut
骚货,zh,saoxuo,loose woman
去死,zh,t͡ɕʰysi,go hell!
该死,zh,kaisi,damned
找死,zh,ʈ͡ʂaosi,court death
吃屎,zh,ʈ͡ʂʰiʂɻ̩,fall flat on one's face (vulgar)
放屁,zh,faŋpʰi,break wind
屎蛋,zh,ʂɻ̩tan,feces
没屁用,zh,muopʰijoŋ,useless
有屁用,zh,joupʰijoŋ,(coll.) be useless
屁话,zh,pʰixua,shit
狗崽子,zh,kout͡sait͡si,bastard
狗屁,zh,koupʰi,nonsense
狗屁不通,zh,koupʰi-putʰoŋ,unintelligible as shit
狗日的,zh,kouɻiti,bastard
狗杂种,zh,kout͡saʈ͡ʂoŋ,bastard
杂种,zh,t͡saʈ͡ʂoŋ,son-of-a-bitch
走狗,zh,t͡soukou,hunting dog
狗腿子,zh,koutʰueit͡si,fig. one who follows a villain
滚开,zh,kunkʰai,boil (of liquid)
滚蛋,zh,kuntan,beat it!
屌,zh,tiao,fuck (Cantonese)
臭閪,zh,ɕiou閪,smelly wench
鸠,zh,t͡ɕiou,"penis (slang, esp. Cantonese)"
柒头,zh,t͡ɕʰitʰou,seven (banker's anti-fraud numeral)
傻逼,zh,ʂapi,idiot
曹尼玛,zh,t͡sʰaonima,Tsang Nyima.
草泥马,zh,t͡sʰaonima,grass mud horse
操你妈,zh,t͡sʰaonima,Fuck you!
去死吧,zh,t͡ɕʰysipia,Go to hell.
傻叼,zh,ʂatiao,stupid
hıyar,tr,hɯjaɾ,Cucumber
siktir orospu çocuğu,tr,siktiɾ oɾospu t͡ʃod͡ʒuɰu,"Fuck you, motherfucker."
taşak,tr,taʃak,balls
aptal,tr,aptal,Stupid
abaza,tr,abaza,abaza
kaşar,tr,kaʃaɾ,Kashkaval
onbeş,tr,onbeʃ,fifteen
denyo,tr,denjo,Douchebag
götüne koyarım,tr,ɡœtyne kojaɾɯm,I'll fuck you in the ass
götünü sikerim,tr,ɡœtyny sikeɾim,I'll fuck your ass
31 çekelim,tr,31 t͡ʃekelim,Let's jerk off
lavuk,tr,lavuk,asshole
amına koyarım,tr,amɯna kojaɾɯm,Fuck you.
sıçtık,tr,sɯt͡ʃtɯk,We're fucked
ezik,tr,ezik,loser
götten bacaklı,tr,ɡœtten bad͡ʒaklɯ,ass-legged
sikindirik,tr,sikindiɾik,SICKNESS
yavşak,tr,javʃak,asshole
hiçbir lanet yolu,tr,hit͡ʃbiɾ lanet jolu,no fucking way
şapka,tr,ʃapka,hat
amına koğumun piçi,tr,amɯna koɰumun pit͡ʃi,fucking bastard.
sıçarım babanın şarap çanağına,tr,sɯt͡ʃaɾɯm babanɯn ʃaɾap t͡ʃanaɰɯna,I'll shit in your father's wine bowl
ecdadını sikeyim,tr,ed͡ʒdadɯnɯ sikejim,fuck your ancestors
film,tr,film,movie
sikim sokum,tr,sikim sokum,Fuck me
sikimtronik,tr,sikimtɾonik,sikimtronik
sikitr,tr,sikitɾ,sikitr
orospu,tr,oɾospu,bitch
yarrak,tr,jaɾɾak,cock
abazan,tr,abazan,abazan
siktir,tr,siktiɾ,Shit!
manda,tr,manda,buffalo
götveren,tr,ɡœtveɾen,asshole
pislik,tr,pislik,asshole
şıllık,tr,ʃɯllɯk,bitch
frikik,tr,fɾikik,frikikik
siçan,tr,sit͡ʃan,SICAN
sıçarım gözlük camına dünyayı bombok görürsün,tr,sɯt͡ʃaɾɯm ɡœzlyk d͡ʒamɯna dynjajɯ bombok ɡœɾyɾsyn,"I'll shit in your glasses, you'll see the world as shit."
zibidi,tr,zibidi,zibidi
eline vermek,tr,eline veɾmek,to give into your hand
feriştahını sikeyim,tr,feɾiʃtahɯnɯ sikejim,fuck your fuckin' ass
puşt,tr,puʃt,asshole
siktir git,tr,siktiɾ ɡit,Fuck off
götüne koyayım,tr,ɡœtyne kojajɯm,Fuck you in the ass
hasiktir,tr,hasiktiɾ,Holy shit
sığır,tr,sɯɰɯɾ,cattle
hayvan,tr,hajvan,animal
kaltak,tr,kaltak,Bitch
yarrak kafa,tr,jaɾɾak kafa,cock head
salak,tr,salak,Idiot
tek kürek yalova yapmak,tr,tek kyɾek jalova japmak,single shovel make yalova
amsalak,tr,amsalak,amsalak
götünden kan alırım,tr,ɡœtynden kan alɯɾɯm,I'll bleed out your ass
ver,tr,veɾ,give
sikik,tr,sikik,Fucker
yelloz,tr,jelloz,yelloz
sikmek,tr,sikmek,fuck
sıçışlardayız,tr,sɯt͡ʃɯʃlaɾdajɯz,we're in the shits
orospu çocuğu,tr,oɾospu t͡ʃod͡ʒuɰu,son of a bitch
ejderha,tr,eʒdeɾha,dragon
amına koyayım,tr,amɯna kojajɯm,Fuck you.
am budalası,tr,am budalasɯ,pussy idiot
ciğerini sikeyim,tr,d͡ʒiɰeɾini sikejim,Fuck your liver
bok ye,tr,bok je,eat shit
amcık ağızlı,tr,amd͡ʒɯk aɰɯzlɯ,cunt mouth
motor,tr,motoɾ,motor
kavat,tr,kavat,kavat
amını sikerim,tr,amɯnɯ sikeɾim,I'll fuck your pussy
beş,tr,beʃ,five
kicimi op,tr,kid͡ʒimi op,op my ass
böluk,tr,bœluk,böluk
amcık hoşafı,tr,amd͡ʒɯk hoʃafɯ,cunt treats
köylü,tr,kœjly,villager
nataşa,tr,nataʃa,natasha
ağzına sıçarım,tr,aɰzɯna sɯt͡ʃaɾɯm,I'll fuck you up
embesil,tr,embesil,imbecile
ısır beni,tr,ɯsɯɾ beni,Bite me
kıç,tr,kɯt͡ʃ,ass
kevaşe,tr,kevaʃe,skank
sikimsonik,tr,sikimsonik,cycimsonic
canın cehenneme,tr,d͡ʒanɯn d͡ʒehenneme,Fuck you
açık kapı,tr,at͡ʃɯk kapɯ,open door
yarrağımın antifrizi,tr,jaɾɾaɰɯmɯn antifɾizi,antifreeze for my cock
mal,tr,mal,goods
yarrağımı,tr,jaɾɾaɰɯmɯ,my cock
yosma,tr,josma,Yosma
göte geldin,tr,ɡœte ɡeldin,you came in the ass
sikimtırak,tr,sikimtɯɾak,Fucktard
dalga,tr,dalɡa,wave
yarrağımı ye,tr,jaɾɾaɰɯmɯ je,eat my cock
amcik,tr,amd͡ʒik,cunt
aşüfte,tr,aʃyfte,hussy
ananı avradını sikeyim,tr,ananɯ avɾadɯnɯ sikejim,Fuck your motherfucker.
yarrağımın kurma kolu,tr,jaɾɾaɰɯmɯn kuɾma kolu,the crown of my cock
bok,tr,bok,Shit
ciğersiz pezevenk,tr,d͡ʒiɰeɾsiz pezevenk,you pimp without a liver
dümbük,tr,dymbyk,dumbass
pezevenk,tr,pezevenk,Pimp
eşekoğlueşek,tr,eʃekoɰlueʃek,donkey son of donkey
seni sikerim,tr,seni sikeɾim,fuck you
apaçi,tr,apat͡ʃi,Apache
siktirici,tr,siktiɾid͡ʒi,fucker
hödük,tr,hœdyk,boor
at hırsızı,tr,at hɯɾsɯzɯ,horse thief
amını sikeyim,tr,amɯnɯ sikejim,Fuck your pussy
götübozuk,tr,ɡœtybozuk,asshole
götünü sikeyim,tr,ɡœtyny sikejim,Fuck your ass
yarrak ağızlı,tr,jaɾɾak aɰɯzlɯ,cock mouth
anasını avradını siktiğimin orospu çocuğu,tr,anasɯnɯ avɾadɯnɯ siktiɰimin oɾospu t͡ʃod͡ʒuɰu,motherfucking son of a bitch
amına koyim,tr,amɯna kojim,Fuck you.
ibne,tr,ibne,Faggot
yedi ceddini siktiğimin oğlu,tr,jedi d͡ʒeddini siktiɰimin oɰlu,you fucking son of a bitch
gerzek,tr,ɡeɾzek,idiot
sülaleni sikeyim,tr,sylaleni sikejim,fuck your ancestors
göt siken,tr,ɡœt siken,ass fucker
sik,tr,sik,fuck
zübük,tr,zybyk,Zubük
top,tr,top,top
ağzına sıçayım,tr,aɰzɯna sɯt͡ʃajɯm,fuck you
hırt,tr,hɯɾt,Hysterical
piç,tr,pit͡ʃ,Bastard
çekirge götü,tr,t͡ʃekiɾɡe ɡœty,grasshopper ass
yarak,tr,jaɾak,cock
amına koyduğumun çocuğu,tr,amɯna kojduɰumun t͡ʃod͡ʒuɰu,motherfucker.
yarak kürek,tr,jaɾak kyɾek,cock shovel
ananı sikerim,tr,ananɯ sikeɾim,fuck your mother
amcık,tr,amd͡ʒɯk,cunt
fallik,tr,fallik,phallic
sürtük,tr,syɾtyk,slut
fahişe,tr,fahiʃe,prostitute
dalyarak,tr,daljaɾak,dalyarak
aşk meleği,tr,aʃk meleɰi,angel of love
yarrağı yedin,tr,jaɾɾaɰɯ jedin,You're fucked
yordamını sikeyim,tr,joɾdamɯnɯ sikejim,fuck your procedure
dalağını sikerim,tr,dalaɰɯnɯ sikeɾim,fuck your spleen
göt lalesi,tr,ɡœt lalesi,ass tulip
sik kafalı,tr,sik kafalɯ,dickhead
budala,tr,budala,foolish
ananı bacını sikeyim,tr,ananɯ bad͡ʒɯnɯ sikejim,fuck your mother and your sister
siki tuttun,tr,siki tuttun,you're fucked
göt,tr,ɡœt,ass
göt veren,tr,ɡœt veɾen,ass giver
deyyus,tr,dejjus,idiot
yarrağı,tr,jaɾɾaɰɯ,his cock
gerizekalı,tr,ɡeɾizekalɯ,Idiot
dürzü,tr,dyɾzy,dür dürzü
sikimde değil,tr,sikimde deɰil,I don't give a fuck
allah kahretsin,tr,allah kahɾetsin,God damn it
amına kodumun piçi,tr,amɯna kodumun pit͡ʃi,you fucking bastard.
sırık,tr,sɯɾɯk,pole
öküz,tr,œkyz,ox
milli olmak,tr,milli olmak,being national
sikko,tr,sikko,sikko
dangalak,tr,danɡalak,douchebag
eşek,tr,eʃek,donkey
ebesini siktiğimin göt lalesi,tr,ebesini siktiɰimin ɡœt lalesi,you fucking asshole tulip
sıçarım böyle işe,tr,sɯt͡ʃaɾɯm bœjle iʃe,Fuck this shit.
ağzını yüzünü siktiğimin pezevengi,tr,aɰzɯnɯ jyzyny siktiɰimin pezevenɡi,You're a fucking pimp.
gelmişini geçmişini sikeyim,tr,ɡelmiʃini ɡet͡ʃmiʃini sikejim,"Fuck you, fuck you, fuck you."
amını götünden sikerim,tr,amɯnɯ ɡœtynden sikeɾim,I'll fuck your cunt in the ass.
concha,es,kont͡ʃa,shell
carajo,es,kaɾaxo,fuck
chilito,es,t͡ʃilito,chilito
joderse,es,xodeɾse,fuck
costar un huevo,es,kostaɾ un uebo,cost an egg
maldición,es,maldision,curse
mostacero,es,mostaseɾo,mostacero
tu madre es una estupida,es,tu madɾe es una estupida,your mother is stupid
pichacorta,es,pit͡ʃakoɾta,pichacorta
we,es,we,we
pinche puta,es,pint͡ʃe puta,fucking whore
mamon,es,mamon,sucker
huey,es,uei,huey
"chinga tu madre, cabron",es,"t͡ʃinɡa tu madɾe, kabɾon","fuck your mother, motherfucker"
cojón,es,koxon,cushion
remojar el cochayuyo,es,ɾemoxaɾ el kot͡ʃajuio,soaking the cochayuyo
chichi,es,t͡ʃit͡ʃi,chichi
wea,es,wea,wea
soplapollas,es,soplapoʝas,cocksucker
sucia,es,susia,dirty
hueva,es,ueba,roe
pargo,es,paɾɡo,snapper
te cogieron de pendejo,es,te koxieɾon de pendexo,you were caught as an asshole
rabo,es,ɾabo,tail
me cago en el coño de tu madre,es,me kaɡo en el koɲo de tu madɾe,I shit on your mother's cunt
maricon,es,maɾikon,fag
hasta la madre,es,asta la madɾe,up to the mother
pinche idiota,es,pint͡ʃe idjota,fucking idiot
putain,es,putain,putain
joto,es,xoto,joto
la cagada,es,la kaɡada,the screw-up
te voy a romper la cara a trompadas,es,te boi a ɾompeɾ la kaɾa a tɾompadas,I'm going to beat your face to a pulp
cabrón,es,kabɾon,motherfucker
chingate,es,t͡ʃinɡate,chingate
coño ,es,koɲo,pussy
yo mataria tu,es,io mataɾja tu,I would kill your
maraca,es,maɾaka,maraca
peras,es,peɾas,pears
"no huyas, pendejo",es,"no ujas, pendexo","don't run away, asshole"
tocarse las peras,es,tokaɾse las peɾas,touching one's pears
pete,es,pete,pete
tarado,es,taɾado,moron
cara de monda,es,kaɾa de monda,monkey face
comerán mierda,es,komeɾan mjeɾda,will eat shit
maraco,es,maɾako,maraco
plumífero,es,plumifeɾo,down jacket
mamaverga,es,mamabeɾɡa,mamaverga
cola,es,kola,tail
que te den por culo,es,ke te den poɾ kulo,fuck you
invertido,es,inbeɾtido,inverted
una pendejada,es,una pendexada,an asshole
mariquita,es,maɾikita,ladybug
maricona,es,maɾikona,fag
agilipollado,es,axilipoʝado,agilipollado
pirobo,es,piɾobo,pyrobo
playo,es,plajo,beach
parcha,es,paɾt͡ʃa,patch
joder,es,xodeɾ,fuck
tontopollas,es,tontopoʝas,dumbass
jode a tu madre,es,xode a tu madɾe,fuck your mother
cojeme,es,koxeme,fuck me
pinche,es,pint͡ʃe,pinche
deje de ser tan pendejo,es,dexe de seɾ tan pendexo,stop being such an asshole
la he jodido,es,la e xodido,I screwed up
chingóna,es,t͡ʃinɡona,chingóna
trompada,es,tɾompada,punch
salchicha,es,salt͡ʃit͡ʃa,sausage
las tetas,es,las tetas,tits
chuchamadre,es,t͡ʃut͡ʃamadɾe,chuchamadre
choto,es,t͡ʃoto,choto
cucaracha,es,kukaɾat͡ʃa,cockroach
maldito,es,maldito,damn
homo,es,omo,homo
negraco,es,neɡɾako,black
tortillera,es,toɾtiʝeɾa,dyke
caray,es,kaɾai,heck
ojete,es,oxete,eyelet
puta,es,puta,whore
pute,es,pute,whore
chupamedias,es,t͡ʃupamedjas,sucker
chinga tu hermana,es,t͡ʃinɡa tu eɾmana,fuck your sister
comemierda,es,komemjeɾda,shit eater
plon,es,plon,plon
julandrón,es,xulandɾon,julandron
me importa tres cojones,es,me impoɾta tɾes koxones,I don't give a damn
tengo ganas,es,tenɡo ɡanas,I feel like
trolo,es,tɾolo,troll
julai,es,xulai,julai
vete a la chingada,es,bete a la t͡ʃinɡada,go to hell
putta,es,putta,whore
panoche,es,panot͡ʃe,panoche
vete al infierno,es,bete al infjeɾno,go to hell
hora,es,oɾa,time
cojon,es,koxon,cojon
cara de panocha,es,kaɾa de panot͡ʃa,panocha face
sarasa,es,saɾasa,sarasa
chotera,es,t͡ʃoteɾa,cholera
eres una marica,es,eɾes una maɾika,you are a faggot
vete a la mierda,es,bete a la mjeɾda,go to hell
wa,es,wa,wa
cojonazos,es,koxonasos,cojonazos
valió madre,es,baljo madɾe,it was worth it
chorra,es,t͡ʃora,chorra
mamapinga,es,mamapinɡa,mamapinga
bolas,es,bolas,balls
mojon,es,moxon,mojon
mamagüevos,es,mamaɡwebos,mamagüevos
fundío,es,fundjo,melted
nabo,es,nabo,turnip
guarra,es,ɡwara,slut
chingado,es,t͡ʃinɡado,fuck
come mierda,es,kome mjeɾda,eats shit
tocar los cojones,es,tokaɾ los koxones,busting my balls
me cago en la virgen,es,me kaɡo en la biɾxen,holy shit
mamona,es,mamona,mamona
cabron,es,kabɾon,motherfucker
mamavergas,es,mamabeɾɡas,mamavergas
tonta,es,tonta,fool
cueco,es,kweko,cueco
jodido,es,xodido,fucking
conchatumadre,es,kont͡ʃatumadɾe,conchatumadre
se la metio,es,se la metjo,he put it in
le quedo una chimba,es,le kedo una t͡ʃimba,it was a chimba
gilipollas,es,xilipoʝas,asshole
pelos de los huevos,es,pelos de los uebos,egg hairs
mal bicho,es,mal bit͡ʃo,bad bug
metete un palo por el culo,es,metete un palo poɾ el kulo,shove a stick up your ass
me cago en la leche,es,me kaɡo en la let͡ʃe,FUCK MY FUCK!
verga dura,es,beɾɡa duɾa,hard cock
me importa un huevo,es,me impoɾta un uebo,I don't give a damn
huevada,es,uebada,huevada
cipote,es,sipote,cipote
chupame la polla,es,t͡ʃupame la poʝa,suck my dick
hijo de la chingada,es,ʝxo de la t͡ʃinɡada,son of a bitch
comecaca,es,komekaka,comecaca
besame el culo,es,besame el kulo,kiss my ass
zunga,es,sunɡa,zunga
estás puto,es,estas puto,you're fucking
hijo de mil putas,es,ʝxo de mil putas,son of a thousand whores
cara de pito,es,kaɾa de pito,dick face
bombero,es,bombeɾo,firefighter
chotaco,es,t͡ʃotako,chotaco
desviado,es,desbjado,deviated
